,year,sid,scode,code,提示内容,townname,vname
0,2018,310151101010001H03501,1.035.01h,"B104=5,B118=150.0,B121=0.99",自有现住房现市场价是原购建价的100倍以上，请核实,城桥镇,西门南村居委会
1,2018,310151101010001H05101,1.051.01h,"B104=5,B118=100.0,B121=0.8",自有现住房现市场价是原购建价的100倍以上，请核实,城桥镇,西门南村居委会
2,2018,310151101012001H07001,2.070.01h,"B104=3,B118=480.0,B121=3.0",自有现住房现市场价是原购建价的100倍以上，请核实,城桥镇,城西居委会
3,2018,310151101012001H01401,2.014.01h,"B104=5,B118=120.0,B121=0.75",自有现住房现市场价是原购建价的100倍以上，请核实,城桥镇,城西居委会
4,2018,310151101012001H04601,2.046.01h,"B104=5,B118=80.0,B121=0.6",自有现住房现市场价是原购建价的100倍以上，请核实,城桥镇,城西居委会
5,2018,310151101024001H04401,3.044.01h,"B104=7,B118=240.0,B121=0.0",自有现住房现市场价是原购建价的100倍以上，请核实,城桥镇,金珠居委会
6,2018,310151101024001H04901,3.049.01h,"B104=7,B118=200.0,B121=1.0",自有现住房现市场价是原购建价的100倍以上，请核实,城桥镇,金珠居委会
7,2018,310151101024001H07801,3.078.01h,"B104=7,B118=170.0,B121=0.0",自有现住房现市场价是原购建价的100倍以上，请核实,城桥镇,金珠居委会
8,2018,310151102004001H01601,6.016.01h,"B104=6,B118=88.0,B121=0.5",自有现住房现市场价是原购建价的100倍以上，请核实,堡镇,正大社区居委会
9,2018,310151110206001H03201,22.032.01h,"B129=1.0,B128=30.0,B129/B128=0.03333333333333333","出租住房单价越界,请核实",陈家镇,陈南村村委会
10,2018,310151110206001H02501,22.025.01h,"B129=5.0,B128=80.0,B129/B128=0.0625","出租住房单价越界,请核实",陈家镇,陈南村村委会
11,2018,310151110208001H00701,23.007.01h,"B137=6.0,B136=60.0,B137/B136=0.1","空宅或其他用途住房单价越界,请核实",陈家镇,陈西村村委会
12,2018,310151110208001H03501,23.035.01h,"B129=3.6,B128=90.0,B129/B128=0.04","出租住房单价越界,请核实",陈家镇,陈西村村委会
13,2018,310151110208001H06401,23.064.01h,"B137=5.0,B136=50.0,B137/B136=0.1","空宅或其他用途住房单价越界,请核实",陈家镇,陈西村村委会
14,2018,310151112212001H02301,25.023.01h,"B104=7,B118=150.0,B121=0.0",自有现住房现市场价是原购建价的100倍以上，请核实,港西镇,静南村村委会
15,2018,310151112212001H08001,25.080.01h,"B104=7,B118=242.0,B121=0.0",自有现住房现市场价是原购建价的100倍以上，请核实,港西镇,静南村村委会
16,2018,310151112212001H01201,25.012.01h,"B104=7,B118=238.0,B121=0.0",自有现住房现市场价是原购建价的100倍以上，请核实,港西镇,静南村村委会
17,2018,310151112212001H01601,25.016.01h,"B104=7,B118=198.0,B121=0.0",自有现住房现市场价是原购建价的100倍以上，请核实,港西镇,静南村村委会
18,2018,310151112212001H00601,25.006.01h,"B104=7,B118=174.0,B121=0.0",自有现住房现市场价是原购建价的100倍以上，请核实,港西镇,静南村村委会
19,2018,310151112212001H00801,25.008.01h,"B104=7,B118=242.0,B121=0.0",自有现住房现市场价是原购建价的100倍以上，请核实,港西镇,静南村村委会
20,2018,310151112212001H00401,25.004.01h,"B104=7,B118=182.0,B121=0.0",自有现住房现市场价是原购建价的100倍以上，请核实,港西镇,静南村村委会
21,2018,310151113201001H02501,26.025.01h,"B104=3,B118=1.1,B105=120,B118/B105=0.009166666666666667","B118自有现住房单价越界,请核实",建设镇,富安村村委会
22,2018,310151113201001H01102,26.011.02h,"B104=3,B118=1.9,B105=210,B118/B105=0.009047619047619047","B118自有现住房单价越界,请核实",建设镇,富安村村委会
23,2018,310151116211001H00601,30.006.01h,"B129=6.0,B128=132.0,B129/B128=0.045454545454545456","出租住房单价越界,请核实",长兴镇,长明村村委会
24,2018,310151116217001H02001,31.020.01h,"B129=1.0,B128=90.0,B129/B128=0.011111111111111112","出租住房单价越界,请核实",长兴镇,团结村村委会
25,2018,310151116220002H00101,32.001.01h,"B129=2.1,B128=75.0,B129/B128=0.028","出租住房单价越界,请核实",长兴镇,先丰村村委会002
26,2018,310151116220002H02201,32.022.01h,"B129=14.0,B128=200.0,B129/B128=0.07","出租住房单价越界,请核实",长兴镇,先丰村村委会002
27,2018,310151116220002H05001,32.050.01h,"B129=0.5,B128=10.0,B129/B128=0.05","出租住房单价越界,请核实",长兴镇,先丰村村委会002
28,2018,310151116220002H04101,32.041.01h,"B129=2.0,B128=45.0,B129/B128=0.044444444444444446","出租住房单价越界,请核实",长兴镇,先丰村村委会002
29,2018,310151116220002H01301,32.013.01h,"B129=20.0,B128=200.0,B129/B128=0.1","出租住房单价越界,请核实",长兴镇,先丰村村委会002
30,2018,310151116220002H02501,32.025.01h,"B129=3.0,B128=100.0,B129/B128=0.03","出租住房单价越界,请核实",长兴镇,先丰村村委会002
